ID,StreamId,Timestamp,RecordSendRate,RecordsPerRequestAvg,ProcessLatencyAvg,ProcessRate
1,generalization_buckets,1701095772693,0.0,0.0,0.0,0.0
2,conditional_range,1701095772944,0.0,0.0,0.0,0.0
3,generalization,1701095772980,0.0,0.0,0.0,0.0
4,conditional_regex,1701095773009,0.0,0.0,0.0,0.0
5,shuffling,1701095773016,0.0,0.0,0.0,0.0
6,aggregation_average,1701095773018,0.0,0.0,0.0,0.0
7,k_anonymization,1701095773021,0.0,0.0,0.0,0.0
8,baseline,1701095773034,0.0,0.0,0.0,0.0
9,conditional_match,1701095773055,0.0,0.0,0.0,0.0
10,univariate_microaggregation,1701095773057,0.0,0.0,0.0,0.0
11,basic_tuple,1701095773069,0.0,0.0,0.0,0.0
12,generalization_buckets,1701095774357,0.0,0.0,0.0,0.0
13,conditional_range,1701095774362,0.0,0.0,0.0,0.0
14,generalization,1701095774364,0.0,0.0,0.0,0.0
15,conditional_regex,1701095774367,0.0,0.0,0.0,0.0
16,shuffling,1701095774369,0.0,0.0,0.0,0.0
17,aggregation_average,1701095774371,0.0,0.0,0.0,0.0
18,k_anonymization,1701095774372,0.0,0.0,0.0,0.0
19,baseline,1701095774373,0.0,0.0,0.0,0.0
20,conditional_match,1701095774373,0.0,0.0,0.0,0.0
21,univariate_microaggregation,1701095774374,0.0,0.0,0.0,0.0
22,basic_tuple,1701095774374,0.0,0.0,0.0,0.0
23,generalization_buckets,1701095775145,0.0,0.0,0.0,0.0
24,conditional_range,1701095775145,0.0,0.0,0.0,0.0
25,generalization,1701095775145,0.0,0.0,0.0,0.0
26,conditional_regex,1701095775146,0.0,0.0,0.0,0.0
27,shuffling,1701095775146,0.0,0.0,0.0,0.0
28,aggregation_average,1701095775146,0.0,0.0,0.0,0.0
29,k_anonymization,1701095775146,0.0,0.0,0.0,0.0
30,baseline,1701095775146,0.0,0.0,0.0,0.0
31,conditional_match,1701095775147,0.0,0.0,0.0,0.0
32,univariate_microaggregation,1701095775147,0.0,0.0,0.0,0.0
33,basic_tuple,1701095775147,0.0,0.0,0.0,0.0
34,generalization_buckets,1701095775858,0.0,0.0,0.0,0.0
35,conditional_range,1701095775859,0.0,0.0,0.0,0.0
36,generalization,1701095775860,0.0,0.0,0.0,0.0
37,conditional_regex,1701095775860,0.0,0.0,0.0,0.0
38,shuffling,1701095775861,0.0,0.0,0.0,0.0
39,aggregation_average,1701095775862,0.0,0.0,0.0,0.0
40,k_anonymization,1701095775862,0.0,0.0,0.0,0.0
41,baseline,1701095775863,0.0,0.0,0.0,0.0
42,conditional_match,1701095775863,0.0,0.0,0.0,0.0
43,univariate_microaggregation,1701095775863,0.0,0.0,0.0,0.0
44,basic_tuple,1701095775864,0.0,0.0,0.0,0.0
