ID,StreamId,Timestamp,RecordSendRate,RecordsPerRequestAvg,ProcessLatencyAvg,ProcessRate
1,generalization_buckets,1701015046928,0.0,0.0,0.0,0.0
2,conditional_range,1701015046933,0.0,0.0,0.0,0.0
3,generalization,1701015046933,0.0,0.0,0.0,0.0
4,conditional_regex,1701015046934,0.0,0.0,0.0,0.0
5,shuffling,1701015046934,0.0,0.0,0.0,0.0
6,aggregation_average,1701015046935,0.0,0.0,0.0,0.0
7,k_anonymization,1701015046935,0.0,0.0,0.0,0.0
8,baseline,1701015046935,0.0,0.0,0.0,0.0
9,conditional_match,1701015046936,0.0,0.0,0.0,0.0
10,univariate_microaggregation,1701015046936,0.0,0.0,0.0,0.0
11,basic_tuple,1701015046937,0.0,0.0,0.0,0.0
12,generalization_buckets,1701015107122,1926.5923638154065,42.09486552567237,1.2681286987687146,0.0
13,conditional_range,1701015107152,2118.8971983480296,42.31654034774855,0.0,0.0
14,generalization,1701015107152,1848.331558395456,41.384997516145056,2.4797483871776853,0.0
15,conditional_regex,1701015107153,2377.8756082221707,43.193100143747,1.1433670074941338,2370.2992584745766
16,shuffling,1701015107179,15.441214570703146,39.733333333333334,0.0,0.0
17,aggregation_average,1701015107215,16.303224472922697,39.4375,0.0,0.0
18,k_anonymization,1701015107216,0.0,0.0,0.0,0.0
19,baseline,1701015107407,2953.215798286221,43.25180128934395,2.0530658297403814,0.0
20,conditional_match,1701015107413,2528.3557597637023,43.011538461538464,0.0,0.0
21,univariate_microaggregation,1701015107432,15.347376010712262,39.733333333333334,42.395186482480504,0.0
22,basic_tuple,1701015107433,2035.0549270372192,42.13529732678669,0.0,0.0
23,generalization_buckets,1701015166963,2063.016598725254,42.05693296602387,0.4516138310191791,0.0
24,conditional_range,1701015166965,2495.3436707582523,42.62169413568417,0.0,0.0
25,generalization,1701015166966,2173.736653217717,41.54921175969323,0.4192132800447788,0.0
26,conditional_regex,1701015166967,2162.1846779299544,42.901912702305054,0.45625292406955764,1854.9590293886952
27,shuffling,1701015166968,54.23122765196663,41.54347826086956,0.0,0.0
28,aggregation_average,1701015166969,23.17808219178082,42.3,0.0,0.0
29,k_anonymization,1701015166971,0.0,0.0,0.0,0.0
30,baseline,1701015166971,1567.073272481519,43.0205680705191,0.3076256039067918,0.0
31,conditional_match,1701015166972,2092.9546477323865,43.03370288248337,0.0,0.0
32,univariate_microaggregation,1701015166973,51.631339473976254,41.355555555555554,136.54662743946798,0.0
33,basic_tuple,1701015166974,1877.5523811111295,42.43862275449102,0.0,0.0
34,generalization_buckets,1701015227089,2851.2015826270713,41.69296515450362,0.3027502041861442,0.0
35,conditional_range,1701015227095,2578.756546260239,42.56520132988548,0.0,0.0
36,generalization,1701015227103,2617.309743954481,41.61060070671378,0.32323579462912455,0.0
37,conditional_regex,1701015227109,2424.276687728633,42.651774530271396,0.37994668278995214,2191.35843644732
38,shuffling,1701015227118,20.337906716355555,43.464285714285715,0.0,0.0
39,aggregation_average,1701015227125,38.6870270638762,41.27272727272727,0.0,0.0
40,k_anonymization,1701015227133,0.0,0.0,0.0,0.0
41,baseline,1701015227140,3737.782361356,42.86444872147374,0.2432478756787366,0.0
42,conditional_match,1701015227141,1306.847351401807,42.6588679245283,0.0,0.0
43,univariate_microaggregation,1701015227150,38.92831089594801,41.92857142857143,236.3403882709997,0.0
44,basic_tuple,1701015227150,2499.1167549911675,42.44571187156738,0.0,0.0
45,generalization_buckets,1701015286930,3605.6408054419308,41.886584405355734,0.22342137413765173,0.0
46,conditional_range,1701015286940,3691.49915777653,42.847758081334725,0.0,0.0
47,generalization,1701015286966,3636.9216347119614,41.748654880860876,0.23440152055986574,0.0
48,conditional_regex,1701015286987,3304.691671115857,42.80388743835219,0.2406344979521126,3301.2973968360257
49,shuffling,1701015286988,48.72148685712339,42.05882352941177,0.0,0.0
50,aggregation_average,1701015286997,51.501450110784866,42.67164179104478,0.0,0.0
51,k_anonymization,1701015286999,0.0,0.0,0.0,0.0
52,baseline,1701015287011,4761.955614884031,42.929855759731275,0.17133748590144568,0.0
53,conditional_match,1701015287023,3766.0697581184018,42.881746222115616,0.0,0.0
54,univariate_microaggregation,1701015287036,49.591876311196515,41.985074626865675,178.4123225485344,0.0
55,basic_tuple,1701015287037,2913.5509726976707,42.58695652173913,0.0,0.0
56,generalization_buckets,1701015347031,3902.4011172177675,41.86848455598456,0.21746024584236634,0.0
57,conditional_range,1701015347144,4222.125279642058,42.83454380390377,0.0,0.0
58,generalization,1701015347208,4260.9999333673895,41.777656794425084,0.2033094578808789,0.0
59,conditional_regex,1701015347209,3053.0993996882357,42.732621863282375,0.24676672141932193,3312.3680241327297
60,shuffling,1701015347246,62.447013835025885,42.21951219512195,0.0,0.0
61,aggregation_average,1701015347248,70.47513109804545,42.23809523809524,0.0,0.0
62,k_anonymization,1701015347274,0.0,0.0,0.0,0.0
63,baseline,1701015347312,5176.7659970733,42.930920448282194,0.16488215902656456,0.0
64,conditional_match,1701015347322,3951.131100221521,42.901243255923056,0.0,0.0
65,univariate_microaggregation,1701015347357,72.92167981419097,41.98795180722892,216.05404824643955,0.0
