ID,StreamId,Timestamp,RecordSendRate,RecordsPerRequestAvg,ProcessLatencyAvg,ProcessRate
1,generalization_buckets,1701014894733,0.0,0.0,0.0,0.0
2,conditional_range,1701014894769,0.0,0.0,0.0,0.0
3,generalization,1701014894771,0.0,0.0,0.0,0.0
4,conditional_regex,1701014894771,0.0,0.0,0.0,0.0
5,shuffling,1701014894772,0.0,0.0,0.0,0.0
6,aggregation_average,1701014894774,0.0,0.0,0.0,0.0
7,k_anonymization,1701014894780,0.0,0.0,0.0,0.0
8,baseline,1701014894780,0.0,0.0,0.0,0.0
9,conditional_match,1701014894781,0.0,0.0,0.0,0.0
10,univariate_microaggregation,1701014894783,0.0,0.0,0.0,0.0
11,basic_tuple,1701014894783,0.0,0.0,0.0,0.0
12,generalization_buckets,1701014954691,0.0,0.0,0.0,0.0
13,conditional_range,1701014954693,0.0,0.0,0.0,0.0
14,generalization,1701014954693,0.0,0.0,0.0,0.0
15,conditional_regex,1701014954695,0.0,0.0,0.0,0.0
16,shuffling,1701014954695,0.0,0.0,0.0,0.0
17,aggregation_average,1701014954696,0.0,0.0,0.0,0.0
18,k_anonymization,1701014954697,0.0,0.0,0.0,0.0
19,baseline,1701014954698,0.0,0.0,0.0,0.0
20,conditional_match,1701014954698,0.0,0.0,0.0,0.0
21,univariate_microaggregation,1701014954699,0.0,0.0,0.0,0.0
22,basic_tuple,1701014954699,0.0,0.0,0.0,0.0
23,generalization_buckets,1701015014713,0.0,0.0,0.0,0.0
24,conditional_range,1701015014763,0.0,0.0,0.0,0.0
25,generalization,1701015014790,0.0,0.0,0.0,0.0
26,conditional_regex,1701015014828,0.0,0.0,0.0,0.0
27,shuffling,1701015014853,0.0,0.0,0.0,0.0
28,aggregation_average,1701015014865,0.0,0.0,0.0,0.0
29,k_anonymization,1701015014867,0.0,0.0,0.0,0.0
30,baseline,1701015014870,0.0,0.0,0.0,0.0
31,conditional_match,1701015014872,0.0,0.0,0.0,0.0
32,univariate_microaggregation,1701015014874,0.0,0.0,0.0,0.0
33,basic_tuple,1701015014875,0.0,0.0,0.0,0.0
